Year,State,Total Population,Median Age,Household Income,Per Capita Income,Total Employed Civilians,Total Unemployed Civilians,Total People in the Military,Total Population in Poverty
2018,Pennsylvania,12791181,2890.2,3698682.0,1935793.0,6151998.0,379765.0,5083.0,1578949.0
2018,Puerto Rico,3386941,3186.1,1476043.0,829334.0,1028500.0,209950.0,1583.0,1495160.0
2018,Rhode Island,1056611,214.8,359572.0,198454.0,527972.0,34479.0,3546.0,133055.0
2018,South Carolina,4955925,1893.4,2019452.0,1106178.0,2227307.0,153242.0,31434.0,770632.0
2018,South Dakota,864289,2673.2,3463225.0,1853116.0,442773.0,16252.0,2725.0,113144.0
2018,Tennessee,6651089,3989.8,4272834.0,2306908.0,3047809.0,191544.0,18045.0,1046508.0
2018,Texas,27885195,9932.1,13072141.0,6476302.0,12985624.0,743006.0,89701.0,4213938.0
2018,Utah,3045350,997.8,1768474.0,738566.0,1452040.0,58958.0,3940.0,309904.0
2018,Vermont,624977,627.4,808745.0,447524.0,328742.0,13878.0,548.0,67034.0
2018,Virginia,8413774,5580.0,7780672.0,4006733.0,4118723.0,217670.0,114513.0,893580.0
2018,Washington,7294336,1635.7,2219271.0,1141875.0,3513856.0,198330.0,48850.0,821621.0
2018,West Virginia,1829054,2421.6,2360526.0,1301864.0,742615.0,53750.0,1058.0,315464.0
2018,Wisconsin,5778394,3126.4,4042619.0,2143602.0,2964540.0,124792.0,2998.0,668220.0
2018,Wyoming,581836,922.2,1377260.0,723467.0,290963.0,13685.0,2837.0,63311.0
2019,Alabama,4876250,2733.7,2919515.0,1611293.0,2097384.0,132095.0,13306.0,795989.0
2019,Alaska,737068,1081.1,1965891.0,959114.0,347774.0,26808.0,17756.0,76933.0
2019,Arizona,7050299,609.4,734849.0,367504.0,3130658.0,195905.0,19592.0,1043764.0
2019,Arkansas,2999370,3120.8,3167753.0,1746378.0,1303490.0,70481.0,4751.0,496260.0
2019,California,39283497,2313.6,3927389.0,1960320.0,18591241.0,1199233.0,131073.0,5149742.0
2019,Colorado,5610349,2718.2,3762867.0,2046243.0,2904589.0,131371.0,33671.0,565873.0
2019,Connecticut,3575074,334.6,633611.0,339844.0,1815636.0,116456.0,8733.0,344146.0
2019,Delaware,957248,125.7,197964.0,101868.0,455620.0,26481.0,3432.0,109400.0
2019,District of Columbia,692683,34.0,86420.0,56147.0,376871.0,27967.0,3066.0,107140.0
2019,Florida,20901636,2932.0,3436445.0,1846740.0,9495353.0,561448.0,59225.0,2870487.0
2019,Georgia,10403847,6347.6,7509520.0,3893025.0,4834622.0,290560.0,49356.0,1528558.0
2019,Hawaii,1422094,221.8,382143.0,184860.0,680258.0,30269.0,41537.0,130649.0
2019,Idaho,1717750,1772.6,2240555.0,1120393.0,792237.0,35879.0,4170.0,221256.0
2019,Illinois,12770631,4273.8,5778942.0,2995138.0,6250862.0,394981.0,17674.0,1557873.0
2019,Indiana,6665703,3711.9,5139727.0,2577955.0,3202509.0,161351.0,3661.0,867996.0
2019,Iowa,3139508,4148.1,5668701.0,3012474.0,1613902.0,62573.0,1666.0,348122.0
2019,Kansas,2910652,4346.0,5550792.0,2899606.0,1440453.0,61002.0,18335.0,337739.0
2019,Kentucky,4449052,4916.8,5385866.0,2894096.0,1978477.0,116945.0,13747.0,747010.0
2019,Louisiana,4664362,2435.4,2871937.0,1560723.0,2033758.0,141020.0,17212.0,871467.0
2019,Maine,1335492,743.4,857100.0,482025.0,670417.0,28922.0,1931.0,153131.0
2019,Maryland,6018848,985.6,1860999.0,914050.0,3073886.0,164396.0,30952.0,539991.0
2019,Massachusetts,6850553,587.0,1088438.0,590563.0,3612375.0,183355.0,5201.0,680962.0
2019,Michigan,9965265,3716.8,4300093.0,2330710.0,4654930.0,293894.0,4179.0,1398527.0
2019,Minnesota,5563378,3643.6,5364114.0,2771011.0,2958615.0,111115.0,2514.0,526065.0
